z,heating_rate
25,-0.068784
75,-0.14869
125,0.247088
175,0.00748549
225,-0.171326
275,0.0371687
325,0.214606
375,-0.0625436
425,-0.012144
475,0.0100405
525,-0.116715
575,-0.0100567
625,0.0922314
675,-0.17894
725,0.279655
775,-0.260129
825,-0.0169358
875,-0.028622
925,0.223486
975,0.10518
1025,-0.330586
1075,0.0773307
1125,0.210376
1175,-0.166775
1225,0.13432
1275,-0.0913127
1325,-0.190888
1375,0.444752
1425,-0.284011
1475,0.11554
1525,-0.0527619
1575,-0.0211338
1625,-0.0668974
1675,0.0502899
1725,0.0546173
1775,0.0500714
1825,-0.0582498
1875,0.0319025
1925,-0.0265307
1975,-0.00655151
2025,-0.220551
2075,0.100107
2125,0.10558
2175,-0.0401857
2225,0.144858
2275,-0.233825
2325,0.196356
2375,-0.0425133
2425,-0.0790837
2475,0.0790881
2525,0.080641
2575,-0.120562
2625,-0.0390687
2675,0.136824
2725,-0.11277
2775,-0.0168605
2825,-4.89119e-05
2875,0.0424706
2925,-0.0477401
2975,-0.0158164
3025,0.0848263
3075,-0.0421747
3125,-0.0131032
3175,0.0571255
3225,0.0614532
3275,-0.148423
3325,-0.0224396
3375,-0.0639248
3425,0.156775
3475,0.11747
3525,-0.135498
3575,-0.00171722
3625,0.0165956
3675,-0.0626037
3725,-0.0218023
3775,-0.0636511
3825,0.0877273
3875,0.0232731
3925,0.0412643
3975,0.0418415
4025,-0.156696
4075,0.171366
4125,-0.207077
4175,0.12316
4225,0.129656
4275,0.00753206
4325,-0.0347431
4375,-0.130461
4425,0.172384
4475,-0.00495497
4525,-0.0975493
4575,-0.124012
4625,0.0496862
4675,-0.0305228
4725,0.100462
4775,-0.12953
4825,-0.0544749
4875,0.109583
4925,-0.0117577
4975,0.124005
5025,0.0114911
5075,-0.115662
5125,-0.0197572
5175,-0.090354
5225,-0.124362
5275,-0.0647322
5325,0.12622
5375,0.00916484
5425,0.13563
5475,-0.0287187
5525,-0.0167744
5575,-0.00632935
5625,0.0673341
5675,-0.0690581
5725,-0.0271827
5775,0.0452413
5825,-0.069335
5875,0.00325639
5925,0.0162252
5975,0.0357498
6025,-0.0213531
6075,-0.00581729
6125,0.0101412
6175,0.041828
6225,-0.011215
6275,0.0353063
6325,-0.0230866
6375,0.0693693
6409.67,-0.0119547
6690.35,-0.0142891
6970.79,-0.0170574
7251.04,-0.00773348
7531.27,0.00812154
7811.65,0.0605079
8092.45,-0.018164
8373.88,0.0336615
8655.95,0.0157097
8938.65,0.0280475
9222.22,-0.00888103
9507.06,-0.0271162
9793.87,0.0341745
10083.7,-0.0473041
10377.1,-0.0918753
10674.3,0.0159156
10974.6,0.0638458
11278.1,0.0104954
11584.5,-0.0210554
11893.7,-0.000323451
12205.2,0.0111657
12518.6,-0.0118221
12834,0.0246564
13151.7,0.00205208
13472.3,-0.0489712
13796.1,0.0301646
14123.3,-0.0159062
14453.6,0.00295111
14786.5,-0.00460437
15121.6,-0.0114029
15458.7,0.0232278
15797.8,-0.0408186
16139.1,-0.00268949
16483.3,0.012395
16830.8,-0.0118634
17181.6,-0.0151368
17535.5,-0.0149504
17892.6,0.0136776
18254.1,-0.00736199
18621.8,0.000950474
18997.3,0.00479337
19381.7,-0.00838686
19774.9,-0.0134896
20177,0.00595756
20588.7,-0.000547664
21010.5,-0.00104687
21443.3,0.0036671
21887.6,-0.00873328
22343.7,-0.00144235
22811.6,-0.00212654
23291.5,-0.0174823
23784,-0.0062131
24290.1,-0.0102656
24810.4,-0.00459836
25345.8,0.000150737
25897.4,-0.00290516
26467.1,-0.00422055
27056.3,-0.00661707
27664.2,-0.00355469
28290.6,-0.00115258
28938,-0.0015602
29609.6,0.000942346
30306.9,0.00108284
31030.3,-0.00206667
31780.4,0.000413506
32558.4,-0.00446905
33365.8,-0.000468033
34205.9,-0.00199072
35087.9,0.00122765
36021,-0.00281351
37006.8,-0.00190318
38047.9,0.000417375
39155.3,-0.00490092
40334.3,-0.00129922
41583.1,-0.00270997
42906.9,-0.000701741
44312.5,0
45804,-0.000315348
47381.4,-0.000373342
49039.3,-4.75458e-06
50772.1,-1.53975e-05
