z,heating_rate
25,-0.0439859
75,-0.0381567
125,-0.0515639
175,0.28414
225,-0.150891
275,0.00903101
325,-0.174923
375,-0.060939
425,-0.139584
475,0.00347836
525,0.110096
575,0.0446549
625,0.080221
675,0.15643
725,0.0100681
775,-0.0802553
825,-0.0142011
875,0.0224516
925,-0.031437
975,-0.0422143
1025,0.040263
1075,-0.0875929
1125,-0.139015
1175,0.130983
1225,-0.0325019
1275,0.0411704
1325,-0.0571821
1375,-0.0277218
1425,0.0513191
1475,0.0508017
1525,0.0187853
1575,0.84523
1625,0.647332
1675,0.350293
1725,0.920453
1775,0.00953618
1825,0.906153
1875,1.55478
1925,-0.757378
1975,-0.804246
2025,0.576676
2075,0.531294
2125,-1.21958
2175,0.738211
2225,1.23318
2275,0.274694
2325,1.17639
2375,-0.825557
2425,-0.331048
2475,-0.536063
2525,-0.587398
2575,-1.08682
2625,-1.77744
2675,-0.919841
2725,-1.43264
2775,-1.08796
2825,-1.94058
2875,-1.30996
2925,-2.33422
2975,-1.35226
3025,-0.663516
3075,-1.33387
3125,-0.943126
3175,-0.873975
3225,-0.524627
3275,-0.4437
3325,-0.231723
3375,-0.0736629
3425,-0.187402
3475,-0.0577336
3525,-0.0910988
3575,-0.0312766
3625,-0.0315805
3675,-0.0442082
3725,0.00725352
3775,-0.0210521
3825,-0.0341421
3875,-0.03105
3925,-0.0295682
3975,-0.0272058
4025,-0.0387082
4075,-0.000105535
4125,-0.0296577
4175,-0.0149428
4225,-0.0356635
4275,-0.0269446
4325,-0.0244306
4375,0.0690187
4425,0.0349324
4475,-0.0177642
4525,-0.029783
4575,-0.0293812
4625,-0.0213121
4675,-0.028788
4725,0.00296655
4775,-0.0261684
4825,-0.021348
4875,-0.0202437
4925,-0.0233181
4975,-0.0224029
5025,-0.0215761
5075,-0.00275638
5125,-0.0183282
5175,-0.0195699
5225,0.0699458
5275,0.0298652
5325,-0.0153817
5375,-0.00179931
5425,-0.0167052
5475,0.0104944
5525,-0.00200244
5575,-0.0150492
5625,-0.016918
5675,-0.0151677
5725,-0.00357373
5775,-0.0156096
5825,-0.0148336
5875,0.0228629
5925,0.060256
5975,-0.00950739
6025,-0.00731458
6075,0.0326211
6125,-0.00741829
6175,0.0118144
6225,-0.00761326
6275,0.0124782
6325,-0.00969233
6375,0.00884166
6409.67,-0.00741648
6690.35,0.000968782
6970.79,-0.00521867
7251.04,-0.00663155
7531.27,0.00473658
7811.65,-0.00484692
8092.45,0.0116109
8373.88,-0.000947286
8655.95,-0.0036856
8938.65,-0.00159126
9222.22,0.00343981
9507.06,-0.0026973
9793.87,-0.0013458
10083.7,-0.00281627
10377.1,0.00212024
10674.3,-0.00175001
10974.6,0.00699
11278.1,-0.00208881
11584.5,0.00398775
11893.7,-0.00215139
12205.2,-0.0017266
12518.6,-0.000183323
12834,0.00337923
13151.7,-0.000205434
13472.3,-0.00185709
13796.1,-0.00186033
14123.3,-0.000684128
14453.6,-0.00168105
14786.5,-0.001333
15121.6,-0.00158384
15458.7,0.0031676
15797.8,-0.000546913
16139.1,-0.00126967
16483.3,-0.000556268
16830.8,-0.000940418
17181.6,0.00144256
17535.5,-0.000966746
17892.6,-0.000740845
18254.1,-0.00085374
18621.8,0.00377888
18997.3,-0.00080572
19381.7,-0.000763146
19774.9,-0.000713021
20177,-0.000617678
20588.7,0.000894618
21010.5,-0.000655174
21443.3,0.00324434
21887.6,-0.000514013
22343.7,-0.000340811
22811.6,-0.000202163
23291.5,-0.000305744
23784,-0.000291817
24290.1,-0.000249357
24810.4,-0.000240787
25345.8,-0.000189774
25897.4,-0.00019161
26467.1,-0.000132465
27056.3,-0.000114009
27664.2,-0.000117561
28290.6,3.84232e-05
28938,-8.04451e-05
29609.6,-7.76518e-05
30306.9,-6.1601e-05
31030.3,-3.74527e-05
31780.4,-5.06789e-05
32558.4,-3.81744e-05
33365.8,-2.87466e-05
34205.9,-2.74198e-05
35087.9,-2.34105e-05
36021,-1.82869e-05
37006.8,-1.51372e-05
38047.9,-1.42216e-05
39155.3,-1.20072e-05
40334.3,-8.24436e-06
41583.1,-7.2117e-06
42906.9,-5.06849e-06
44312.5,-3.79246e-06
45804,-2.80388e-06
47381.4,-2.11894e-06
49039.3,-1.231e-06
50772.1,-7.81356e-07
