z,heating_rate
25,-0.00180189
75,-0.00145642
125,-0.00130201
175,-0.00112715
225,-0.00109511
275,-0.000931825
325,-0.000677832
375,-0.000532306
425,-0.00064386
475,-0.000395272
525,-0.000386777
575,-0.000271747
625,-1.11943e-05
675,6.71646e-05
725,4.24577e-06
775,0.000250515
825,0.000256691
875,0.000351261
925,0.000453552
975,0.000496398
1025,0.000654659
1075,0.000659291
1125,0.000798638
1175,0.000823343
1225,0.000890507
1275,0.000856539
1325,0.00102561
1375,0.00102831
1425,0.00105919
1475,0.00189991
1525,0.015226
1575,0.0411986
1625,0.0540012
1675,0.0489865
1725,0.0384146
1775,0.0277486
1825,0.0209207
1875,0.0143412
1925,0.0102926
1975,0.00734517
2025,0.00584865
2075,0.00343196
2125,0.0026596
2175,0.00223034
2225,0.00187173
2275,0.00140853
2325,0.000798643
2375,0.00125953
2425,0.001004
2475,8.80093e-05
2525,-0.000563179
2575,-0.000934517
2625,-0.00191535
2675,-0.00422753
2725,-0.00700444
2775,-0.00977357
2825,-0.0125408
2875,-0.0137397
2925,-0.0143616
2975,-0.0134718
3025,-0.0124678
3075,-0.0106382
3125,-0.00906683
3175,-0.00701681
3225,-0.00512229
3275,-0.00381912
3325,-0.00280625
3375,-0.00211453
3425,-0.001197
3475,-0.000697509
3525,-0.000502963
3575,-0.000340841
3625,-0.000294907
3675,-0.000196862
3725,-0.000182194
3775,-0.000177176
3825,-0.000187984
3875,-0.000137803
3925,-0.000107695
3975,-0.000115029
4025,-0.000121205
4075,-0.000115029
4125,-0.000118117
4175,-6.94807e-05
4225,-6.06026e-05
4275,-8.41488e-05
4325,-8.22188e-05
4375,-4.47764e-05
4425,-1.00361e-05
4475,-3.55123e-05
4525,2.31602e-06
4575,-4.28464e-05
4625,-2.70202e-06
4675,-5.01805e-06
4725,-2.74063e-05
4775,1.58262e-05
4825,-1.69842e-05
4875,2.50902e-05
4925,3.86004e-05
4975,3.31963e-05
5025,3.62843e-05
5075,3.47403e-05
5125,5.17245e-05
5175,2.43182e-05
5225,4.13024e-05
5275,3.89864e-05
5325,5.51985e-05
5375,7.48847e-05
5425,7.25687e-05
5475,6.87087e-05
5525,7.29547e-05
5575,8.26048e-05
5625,5.82866e-05
5675,7.79728e-05
5725,7.87448e-05
5775,8.22188e-05
5825,9.7659e-05
5875,0.000112327
5925,0.000117345
5975,0.000103835
6025,8.68509e-05
6075,9.30269e-05
6125,0.000123521
6175,0.000114643
6225,9.9203e-05
6275,0.000106923
6325,9.22549e-05
6375,0.000108853
6409.67,5.40163e-05
6690.35,9.60298e-05
6970.79,9.20574e-05
7251.04,0.000101599
7531.27,0.000102611
7811.65,0.00010245
8092.45,9.0431e-05
8373.88,9.14379e-05
8655.95,9.16617e-05
8938.65,8.83034e-05
9222.22,7.96234e-05
9507.06,8.14993e-05
9793.87,7.49128e-05
10083.7,7.07689e-05
10377.1,5.40292e-05
10674.3,5.53488e-05
10974.6,4.53233e-05
11278.1,3.87997e-05
11584.5,3.60371e-05
11893.7,4.13989e-05
12205.2,3.44637e-05
12518.6,3.38308e-05
12834,2.95254e-05
13151.7,2.58934e-05
13472.3,2.54047e-05
13796.1,2.25293e-05
14123.3,2.07167e-05
14453.6,1.77465e-05
14786.5,1.73875e-05
15121.6,1.5905e-05
15458.7,1.82134e-05
15797.8,1.40723e-05
16139.1,0
16483.3,0
16830.8,0
17181.6,0
17535.5,0
17892.6,0
18254.1,0
18621.8,0
18997.3,0
19381.7,0
19774.9,0
20177,0
20588.7,0
21010.5,0
21443.3,0
21887.6,0
22343.7,0
22811.6,0
23291.5,0
23784,0
24290.1,0
24810.4,0
25345.8,0
25897.4,0
26467.1,0
27056.3,0
27664.2,0
28290.6,0
28938,0
29609.6,0
30306.9,0
31030.3,0
31780.4,0
32558.4,0
33365.8,0
34205.9,0
35087.9,0
36021,0
37006.8,0
38047.9,0
39155.3,0
40334.3,1.58964e-08
41583.1,0
42906.9,0
44312.5,-1.33349e-08
45804,0
47381.4,0
49039.3,0
50772.1,1.09098e-08
