z,heating_rate
25,-0.168065
75,-0.336769
125,-0.0666339
175,-0.223434
225,-0.0293436
275,-0.199757
325,-0.00299194
375,-0.04034
425,-0.11161
475,0.054813
525,0.111001
575,-0.06779
625,0.00628197
675,0.0181129
725,-0.205174
775,-0.112449
825,-0.238723
875,-0.0911978
925,-0.176438
975,-0.19931
1025,-0.201118
1075,-0.174941
1125,-0.132766
1175,-0.227094
1225,-0.386399
1275,-0.362268
1325,-0.311608
1375,-0.2951
1425,-0.39329
1475,-0.197948
1525,-0.237482
1575,-0.277921
1625,-0.380202
1675,-0.360569
1725,-0.499765
1775,-0.512373
1825,-0.615941
1875,-0.437785
1925,-0.494838
1975,-0.548707
2025,-0.580143
2075,-0.572572
2125,-0.577961
2175,-0.588654
2225,-0.580727
2275,-0.698595
2325,-0.638571
2375,-0.740174
2425,-0.70343
2475,-0.683769
2525,-0.69894
2575,-0.899055
2625,-0.782583
2675,-0.942844
2725,-0.953209
2775,-0.941469
2825,-0.927965
2875,-0.735771
2925,-0.770867
2975,-0.637833
3025,-0.516591
3075,-0.483231
3125,-0.433555
3175,-0.404937
3225,-0.324397
3275,-0.272482
3325,-0.258731
3375,-0.243858
3425,-0.220566
3475,-0.199215
3525,-0.152654
3575,-0.176508
3625,-0.136103
3675,-0.123189
3725,-0.120102
3775,-0.109158
3825,-0.106357
3875,-0.127123
3925,-0.100178
3975,-0.100178
4025,-0.109725
4075,-0.122628
4125,-0.115056
4175,-0.113092
4225,-0.107199
4275,-0.0920451
4325,-0.0825039
4375,-0.0785751
4425,-0.0833458
4475,-0.0690339
4525,-0.0802589
4575,-0.0676249
4625,-0.0760379
4675,-0.0679114
4725,-0.0687532
4775,-0.0482618
4825,-0.0429299
4875,-0.0415268
4925,-0.0505126
4975,-0.0367619
5025,-0.0356394
5075,-0.0286238
5125,-0.0283374
5175,-0.0207663
5225,-0.0362007
5275,-0.0252563
5325,-0.0339499
5375,-0.0283432
5425,-0.0252563
5475,-0.0373232
5525,-0.0266594
5575,-0.015715
5625,-0.0210469
5675,-0.0221694
5725,-0.0322661
5775,-0.0216082
5825,-0.0263788
5875,-0.0199244
5925,-0.024128
5975,-0.02245
6025,-0.0112192
6075,-0.01796
6125,-0.0120669
6175,-0.0129088
6225,-0.0120669
6275,-0.0129088
6325,0.000561251
6375,-0.0145925
6409.67,-0.014773
6690.35,-0.0172024
6970.79,-0.0127645
7251.04,-0.00540823
7531.27,-0.00480632
7811.65,-0.0038016
8092.45,-0.00179709
8373.88,-0.00253849
8655.95,-0.00154048
8938.65,-0.00104103
9222.22,-0.00118539
9507.06,-0.000638684
9793.87,0.000340995
10083.7,-0.000770052
10377.1,0.000189985
10674.3,-0.000328671
10974.6,-9.29482e-05
11278.1,-4.60154e-05
11584.5,-0.000227818
11893.7,-4.51908e-05
12205.2,-8.98035e-05
12518.6,-4.46371e-05
12834,-0.000133048
13151.7,-0.000219913
13472.3,0.000174238
13796.1,-0.000129307
14123.3,-0.000127998
14453.6,-4.23007e-05
14786.5,4.19959e-05
15121.6,4.17436e-05
15458.7,8.30169e-05
15797.8,-0.000123757
16139.1,-8.19228e-05
16483.3,0
16830.8,0
17181.6,-7.9618e-05
17535.5,0
17892.6,-0.000117279
18254.1,0
18621.8,-3.77967e-05
18997.3,0
19381.7,-3.60928e-05
19774.9,-3.52896e-05
20177,-3.44982e-05
20588.7,-3.36833e-05
21010.5,-3.2846e-05
21443.3,-6.40061e-05
21887.6,0
22343.7,3.0371e-05
22811.6,-2.9612e-05
23291.5,2.88726e-05
23784,2.81168e-05
24290.1,0
24810.4,-2.65935e-05
25345.8,0
25897.4,0
26467.1,0
27056.3,0
27664.2,0
28290.6,0
28938,2.13016e-05
29609.6,0
30306.9,0
31030.3,0
31780.4,0
32558.4,0
33365.8,0
34205.9,0
35087.9,0
36021,0
37006.8,0
38047.9,0
39155.3,0
40334.3,0
41583.1,0
42906.9,-1.02873e-05
44312.5,0
45804,0
47381.4,0
49039.3,0
50772.1,0
