z,heating_rate
25,3.01751
75,2.43062
125,2.06927
175,1.76818
225,1.52539
275,1.35297
325,1.18684
375,1.06913
425,0.969677
475,0.860359
525,0.793189
575,0.71949
625,0.663413
675,0.595135
725,0.560997
775,0.521558
825,0.472753
875,0.455868
925,0.413965
975,0.394984
1025,1.04447
1075,0.168736
1125,0.0874046
1175,0.108475
1225,0.0609067
1275,0.0572065
1325,0.0605338
1375,-2.00929
1425,0.158484
1475,0.145915
1525,0.125704
1575,0.124718
1625,0.104754
1675,0.101919
1725,0.0957569
1775,0.0919363
1825,0.0786267
1875,0.0778869
1925,0.0723416
1975,0.0660561
2025,0.0610037
2075,0.0561971
2125,0.0587853
2175,0.0486794
2225,0.0463382
2275,0.0430106
2325,0.0399298
2375,0.0362325
2425,0.036972
2475,0.0338912
2525,0.0325353
2575,0.0299475
2625,0.0289612
2675,0.0292077
2725,0.0258805
2775,0.0251411
2825,0.0260033
2875,0.0192256
2925,0.0203347
2975,0.0194719
3025,0.0197182
3075,0.0152818
3125,0.0147886
3175,0.0142958
3225,0.0125705
3275,0.011831
3325,0.0130635
3375,0.0112148
3425,0.0114614
3475,0.00948948
3525,0.00862691
3575,0.00862665
3625,0.00665504
3675,0.00579224
3725,0.00788743
3775,0.00640844
3825,0.00714808
3875,0.00554579
3925,0.00677823
3975,0.00665493
4025,0.0055457
4075,0.00542249
4125,0.00529923
4175,0.00320426
4225,0.00492962
4275,0.00271132
4325,0.00382041
4375,0.00209517
4425,0.00246474
4475,0.00332748
4525,0.00197185
4575,0.00209512
4625,0.00209508
4675,0.00419006
4725,0.00197189
4775,0.00308096
4825,0.00147891
4875,0.00197182
4925,0.00197185
4975,0.00135561
