z,heating_rate
25,3.10245
75,2.56227
125,2.18407
175,1.89495
225,1.66651
275,1.47794
325,1.32394
375,1.1984
425,1.08786
475,0.98884
525,0.918074
575,0.844113
625,0.789795
675,0.73447
725,0.686957
775,0.646176
825,0.61551
875,0.570989
925,0.549378
975,0.524377
1025,2.23706
1075,0.02359
1125,-0.0205635
1175,0.0468784
1225,-0.0474363
1275,-0.0958373
1325,0.0148163
1375,-5.67346
1425,0.16752
1475,0.147031
1525,0.136663
1575,0.123333
1625,0.117909
1675,0.106108
1725,0.0984425
1775,0.090114
1825,0.0853712
1875,0.0766158
1925,0.0718477
1975,0.0672447
2025,0.0626253
2075,0.0598608
2125,0.056486
2175,0.0531286
2225,0.0484293
2275,0.0408033
2325,0.0430385
2375,0.0383506
2425,0.0356311
2475,0.0316726
2525,0.0305521
2575,0.0325817
2625,0.0293638
2675,0.0283213
2725,0.0239382
2775,0.0234265
2825,0.0226731
2875,0.0192746
2925,0.019037
2975,0.0179967
3025,0.0175895
3075,0.0151772
3125,0.0168186
3175,0.0132925
3225,0.0128846
3275,0.0112422
3325,0.0127267
3375,0.0107396
3425,0.0107921
3475,0.010617
3525,0.00942987
3575,0.00793345
3625,0.0093267
3675,0.00831991
3725,0.00736488
3775,0.00580121
3825,0.00646056
3875,0.00572146
3925,0.00553152
3975,0.00474358
4025,0.00569351
4075,0.00480732
4125,0.00418128
4175,0.00424252
4225,0.00410306
4275,0.00410366
4325,0.00378491
4375,0.00376586
4425,0.00309622
4475,0.00321956
4525,0.0027863
4575,0.00275467
4625,0.00283887
4675,0.00176376
4725,0.00211247
4775,0.00236757
4825,0.00224906
4875,0.00240775
4925,0.0016745
4975,0.00152632
