z,heating_rate
25,-0.0342969
75,0.0126648
125,0.00287209
175,0.00106723
225,0.000397282
275,0.000306168
325,0.000129301
375,0.000218405
425,0.000125281
475,0.000199646
525,8.84337e-05
575,0.000158109
625,0.000129971
675,0.00014404
725,0.000109872
775,0.000102503
825,0.000158109
875,0.000132651
925,0.000172178
975,0.000109202
1025,0.000241183
1075,0.000150069
1125,0.000326937
1175,0.000223094
1225,0.000464277
1275,0.000352395
1325,0.000653874
1375,0.000586878
1425,0.000883667
1475,0.00103709
1525,0.00144643
1575,0.00108934
1625,0.00055807
1675,0.000231134
1725,-1.4739e-05
1775,0.000182897
1825,7.23549e-05
1875,8.77638e-05
1925,0.000198306
1975,8.57539e-05
2025,0.000235153
2075,8.30741e-05
2125,5.89558e-05
2175,2.21084e-05
2225,-0.000166148
2275,1.13892e-05
2325,-8.03943e-06
2375,0.000177537
2425,0.000433459
2475,0.000671292
2525,0.00103843
2575,0.00120256
2625,0.00181825
2675,0.0020802
2725,0.00198306
2775,0.00166416
2825,0.00117845
2875,0.000615686
2925,-1.33991e-06
2975,-0.000355745
3025,-0.000672632
3075,-0.000738288
3125,-0.000501794
3175,-0.000537302
3225,-0.000762406
3275,-0.000661243
3325,-0.000363114
3375,-0.000363114
3425,-0.000600277
3475,-0.000257932
3525,0.000268316
3575,-0.000113222
3625,-0.000305498
3675,-0.000376178
3725,-0.000755371
3775,-0.000812652
3825,-0.000968751
3875,-0.00101096
3925,-0.00078083
3975,-0.000325597
4025,-0.000226109
4075,1.20591e-05
4125,5.6946e-06
4175,0.000227784
4225,0.000444179
4275,0.000483371
4325,0.000575489
4375,0.000429775
4425,0.000448198
4475,0.00042676
4525,0.000386563
4575,0.000152079
4625,0.000295784
4675,0.000342011
4725,0.000131646
4775,-8.00593e-05
4825,-0.000404316
4875,-0.000504809
4925,-0.000377183
4975,-0.000454898
5025,-0.000521223
5075,-0.000440829
5125,-0.000627746
5175,-0.00101364
5225,-0.00108331
5275,-0.000941618
5325,-0.000606307
5375,-0.000333301
5425,-0.000657558
5475,-0.000948653
5525,-0.0010468
5575,-0.000825047
5625,-0.000324257
5675,-0.000306168
5725,-0.000395942
5775,-0.000436809
5825,-0.000635785
5875,-0.000323252
5925,-0.000231804
5975,-5.02464e-05
6025,0.000435469
6075,0.000854524
6125,0.00119721
6175,0.00213681
6225,0.00604498
6275,0.0181323
6325,0.0562214
6375,0.221123
6409.67,-0.13009
6690.35,-0.00376274
6970.79,0.00242054
7251.04,0.00232895
7531.27,0.00230486
7811.65,0.00343082
8092.45,0.00170914
8373.88,-0.00117658
8655.95,0.00127698
8938.65,0.00331758
9222.22,0.00458774
9507.06,0.00793763
9793.87,0.00927122
10083.7,0.00298468
10377.1,-0.00388895
10674.3,-0.0028071
10974.6,-0.00109469
11278.1,-0.000846817
11584.5,-0.00427073
11893.7,-0.0044452
12205.2,-0.00215776
12518.6,0.00198834
12834,0.00510069
13151.7,0.00419279
13472.3,0.002088
13796.1,-0.00108354
14123.3,-0.00441796
14453.6,-0.00495325
14786.5,-0.00385481
15121.6,-0.00144756
15458.7,0.00119623
15797.8,0.00351076
16139.1,0.00346502
16483.3,-0.000447371
16830.8,-0.00491422
17181.6,-0.00698925
17535.5,-0.00323064
17892.6,0.00159872
18254.1,0.00194447
18621.8,-0.00224949
18997.3,-0.00780937
19381.7,-0.00937376
19774.9,-0.00769895
20177,-0.00629848
20588.7,-0.00659093
21010.5,-0.00799069
21443.3,-0.00975738
21887.6,-0.0114588
22343.7,-0.0125662
22811.6,-0.0128748
23291.5,-0.0127637
23784,-0.0128198
24290.1,-0.0129849
24810.4,-0.0127308
25345.8,-0.01236
25897.4,-0.0121634
26467.1,-0.0122389
27056.3,-0.0117457
27664.2,-0.010329
28290.6,-0.00914923
28938,-0.00834703
29609.6,-0.00778775
30306.9,-0.006946
31030.3,-0.00600256
31780.4,-0.00507542
32558.4,-0.00423546
33365.8,-0.00350121
34205.9,-0.00298573
35087.9,-0.00273943
36021,-0.00247709
37006.8,-0.002045
38047.9,-0.00173571
39155.3,-0.00147453
40334.3,-0.00115361
41583.1,-0.000866248
42906.9,-0.000673382
44312.5,-0.00050183
45804,-0.000365023
47381.4,-0.00025447
49039.3,-0.000171574
50772.1,-0.000105621
