z,heating_rate
25,-0.00586944
75,-0.00436093
125,-0.00359059
175,-0.00300265
225,-0.00253083
275,-0.00211241
325,-0.00176124
375,-0.00144196
425,-0.00117087
475,-0.000923467
525,-0.000712586
575,-0.000520287
625,-0.000354502
675,-0.000205795
725,-7.59067e-05
775,3.88352e-05
825,0.000141837
875,0.000229621
925,0.000310593
975,0.000376503
1025,0.000441085
1075,0.000489693
1125,0.000540968
1175,0.000575711
1225,0.000616998
1275,0.00064191
1325,0.000676274
1375,0.000695939
1425,0.000725983
1475,0.000812038
1525,0.0016014
1575,0.00213288
1625,0.00169033
1675,0.000891907
1725,0.000325
1775,5.22775e-05
1825,-9.06307e-05
1875,-0.000106971
1925,-0.000118923
1975,-6.40813e-05
2025,-4.90255e-05
2075,-3.37879e-05
2125,-2.40713e-05
2175,-8.88995e-06
2225,1.78911e-05
2275,1.05169e-05
2325,3.4613e-05
2375,9.23767e-05
2425,0.000221471
2475,0.00025752
2525,0.000242991
2575,0.000225698
2625,0.000117764
2675,-3.45603e-05
2725,-0.000264391
2775,-0.000443901
2825,-0.000583503
2875,-0.000594874
2925,-0.000544273
2975,-0.000468234
3025,-0.000347667
3075,-0.00025085
3125,-0.000221671
3175,-0.000177706
3225,-0.000109697
3275,-8.19962e-05
3325,-4.67717e-05
3375,-2.0046e-05
3425,-9.6164e-06
3475,2.40969e-05
3525,4.09812e-05
3575,5.47631e-05
3625,6.37861e-05
3675,7.73302e-05
3725,8.81995e-05
3775,9.82851e-05
3825,0.000108397
3875,0.000119226
3925,0.000130899
3975,0.000142399
4025,0.000153896
4075,0.000164903
4125,0.000174605
4175,0.000183512
4225,0.000190746
4275,0.000196601
4325,0.000201715
4375,0.000205599
4425,0.000208913
4475,0.000211824
4525,0.000213865
4575,0.00021543
4625,0.000216724
4675,0.000217119
4725,0.000216869
4775,0.000216335
4825,0.000215531
4875,0.000215067
4925,0.000215224
4975,0.000215629
5025,0.00021637
5075,0.000217396
5125,0.000218259
5175,0.000219247
5225,0.000220962
5275,0.000223339
5325,0.00022631
5375,0.000229439
5425,0.000232007
5475,0.000234519
5525,0.00023724
5575,0.00024032
5625,0.00024378
5675,0.000246756
5725,0.000249349
5775,0.000251667
5825,0.000253471
5875,0.00025523
5925,0.000256488
5975,0.000257385
6025,0.000258002
6075,0.000257931
6125,0.000257262
6175,0.000255949
6225,0.000254397
6275,0.000252682
6325,0.000250615
6375,0.000248825
6409.67,0.000129361
6690.35,0.000218036
6970.79,0.000216684
7251.04,0.000207744
7531.27,0.000198089
7811.65,0.000188911
8092.45,0.000179156
8373.88,0.000170916
8655.95,0.000164707
8938.65,0.00015762
9222.22,0.000149251
9507.06,0.000139975
9793.87,0.000129281
10083.7,0.000117032
10377.1,0.000104905
10674.3,9.51441e-05
10974.6,8.75148e-05
11278.1,8.10195e-05
11584.5,7.50121e-05
11893.7,7.03109e-05
12205.2,6.67785e-05
12518.6,6.36868e-05
12834,6.03918e-05
13151.7,5.64601e-05
13472.3,5.21398e-05
13796.1,4.78279e-05
14123.3,4.39051e-05
14453.6,4.09932e-05
14786.5,3.8831e-05
15121.6,3.71364e-05
15458.7,3.56884e-05
15797.8,3.42055e-05
16139.1,3.20569e-05
16483.3,2.98225e-05
16830.8,2.75002e-05
17181.6,2.56336e-05
17535.5,2.45044e-05
17892.6,2.36349e-05
18254.1,2.23867e-05
18621.8,2.07309e-05
18997.3,1.89787e-05
19381.7,1.76781e-05
19774.9,1.67937e-05
20177,1.58663e-05
20588.7,1.47129e-05
21010.5,1.34891e-05
21443.3,1.22861e-05
21887.6,1.11857e-05
22343.7,1.0182e-05
22811.6,9.32866e-06
23291.5,8.67131e-06
23784,8.00641e-06
24290.1,7.20453e-06
24810.4,6.25382e-06
25345.8,5.37521e-06
25897.4,4.68109e-06
26467.1,4.02517e-06
27056.3,3.50523e-06
27664.2,3.18568e-06
28290.6,2.868e-06
28938,2.49015e-06
29609.6,2.10618e-06
30306.9,1.80684e-06
31030.3,1.56525e-06
31780.4,1.26239e-06
32558.4,1.01036e-06
33365.8,8.18535e-07
34205.9,6.37582e-07
35087.9,4.28288e-07
36021,2.39946e-07
37006.8,1.27961e-07
38047.9,1.14203e-09
39155.3,-1.53751e-07
40334.3,-2.42308e-07
41583.1,-2.94167e-07
42906.9,-3.59218e-07
44312.5,-3.75964e-07
45804,-3.49192e-07
47381.4,-2.69076e-07
49039.3,-1.74302e-07
50772.1,-1.05747e-07
